ID,SKU
1465,"ID950,328"
1470,FAN1076258
1482,"ID180,033"
1621,FAN86306
1622,FAN1076150
1624,FAN86040
1625,FAN86437
1636,FAN86610
1639,FAN86082
1640,FAN86445
1641,FAN86581
1645,FAN86073
1658,FAN86334
1660,FAN86008
1661,FAN86424
1664,FAN86021
1665,FAN86077
1666,"ID1300,021"
1667,FAN86038
1676,FAN86338
1677,"ID1500,104"
1682,FAN86051
1684,FAN86687
1686,FAN86035
1689,FAN86024
1690,MD0002
1696,FAN86879
1697,ROK462
1698,FAN86081
1700,"ID180,025"
1704,FAN96629
1705,FAN1096802
1708,FAN86810
1709,MD0210
