ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi,Meta: _asin,Meta: _amazon_url,Meta: _et_builder_dynamic_assets_loading_attr_threshold,Meta: _last_change_time,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content
,simple,AMU419628,,DISINFETTANTE SGRASSATORE USO PROFESSIONALE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN,1,,visible,,DISINFETTANTE SGRASSATORE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN,,,taxable,,1,144,,,0,,,,,,,,,Amuchina,,,,,,,,,,,,,,0617FK2BOPF,https://www.amazon.it/dp/B0FDGNQWQF,,,,,,,,,,
,simple,CC11013602,,CARTA FORNO PROFESSIONAL - ROTOLO DA 50 METRI - ALTEZZA 36 CM,1,,visible,,CARTA FORNO PROFESSIONAL - ROTOLO DA 50 METRI - ALTEZZA 36 CM,,,taxable,,1,27,,,0,,,,,,,,15.10,,,,,,,,,,,,,,,0512FGU4CWC,https://www.amazon.it/dp/B0F8BM9WNX,,,,,,,,,,
,simple,CC17030112,,Film rotolo alluminio larghezza cm 30 lunghezza mt 100 con astuccio,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,16.20,,,,,,,,,,,,,,,0418FM9GWHM,https://www.amazon.it/dp/B01MT6RO9W,,,,,,,,,,
,simple,CC3530130,,PELLICOLA TRASPARENTE - CUKI,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,16.80,,,,,,,,,,,,,,,0422FW6X4I9,https://www.amazon.it/dp/B086ZNH9ZN,,,,,,,,,,
,simple,CXC59615,,ROTOLONE DI CARTA BLU FOOD 3 VELI 500 STRAPPI CELTEX 59615 - CONFEZIONE 2 ROTOLONI,1,,visible,,ROTOLONE DI CARTA SUPERBLUE FOOD 3 VELI 500 STRAPPI CELTEX 59615 - CONFEZIONE 2 ROTOLONI,,,taxable,,1,50,,,0,,,,,,,,23.70,,,,,,,,,,,,,,,0508F5E6FHX,https://www.amazon.it/dp/B0F7XV4WXG,,,,,,,,,,
,simple,FAN1076150,,CREMA COLORE PER CAPELLI 100ML COLORZOOM 10 MINUTI 6.6 BIONDO SCURO ROSSO-FANOLA,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,12.60,Fanola,,,,,,,,,,,,,,0506HM376TD,https://www.amazon.it/dp/B09QNG99J5,,,,,,,,,,
,simple,FAN1076459,,"Fanola FanTouch Curl Passion, Mousse Disciplinante per Capelli Ricci Naturali o Trattati, Azione Fissante per Ricci Morbidi ed Elastici, 300 ml",1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,14.50,Fanola,,,,,,,,,,,,,,0109HU0WKYV,https://www.amazon.it/dp/B0CLVMRYVN,,,,,,,,,,
,simple,FAN1096813,,Crema colore permanente per capelli senza ammoniaca 100ml-ORO Therapy (- 10.21 BIONDO PLATINO VIOLA CENERE),1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6LXE30,https://www.amazon.it/dp/B07GFQ61XJ,,,,,,,,,,
,simple,FAN83710,,"Fanola Crema colorante Colouring Cream 9.00 Biondo Chiaro Intensivo, 100 ml",1,,visible,,,,,taxable,,1,12,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAF6B5M,https://www.amazon.it/dp/B01E8MDII6,,,,,,,,,,
,simple,FAN86001,,"Fanola Crema Colore, 1.0 Nero, 100 ml",1,,visible,,,,,taxable,,1,16,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAFEXXX,https://www.amazon.it/dp/B00CGPJ0ZS,,,,,,,,,,
