ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi,Meta: _asin,Meta: _amazon_url,Meta: _et_builder_dynamic_assets_loading_attr_threshold,Meta: _last_change_time,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content
,simple,FAN86005,,Fanola Crema Colore per capelli 6/0 Fanola Crema Colore per capelli 6/0 – 100 ML,1,,visible,,,,,taxable,,1,12,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAIOMOI,https://www.amazon.it/dp/B00CGPL3R6,,,,,,,,,,
,simple,FAN86007,,"FANOLA - Crema tintura per capelli, 100 ml, 8.0, biondo chiaro",1,,visible,,,,,taxable,,1,24,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAISKHR,https://www.amazon.it/dp/B00CGPJRIS,,,,,,,,,,
,simple,FAN86017,,"FANOLA 8.04 - Crema colorante per capelli, biondo chiaro naturale, rame, 100 ml",1,,visible,,,,,taxable,,1,10,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAENNDZ,https://www.amazon.it/dp/B00CGPL9IE,,,,,,,,,,
,simple,FAN86048,,"FANOLA - Crema colorante per capelli, 100 ml, 7.43 biondo rame dorato",1,,visible,,,,,taxable,,1,8,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAIRR95,https://www.amazon.it/dp/B00CGPL6T6,,,,,,,,,,
,simple,FAN86060,,"Fanola Crema colorante Colouring Cream 6.6 Biondo scuro Rosso, 100 ml",1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HA9IL4U,https://www.amazon.it/dp/B00CGPMABY,,,,,,,,,,
,simple,FAN86063,,FANOLA COLOR SUPERSCHIARENTI 11.1,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAAL5DC,https://www.amazon.it/dp/B00CGPIR0C,,,,,,,,,,
,simple,FAN86064,,FANOLA - Crema tintura per capelli Fanola 100 ml 11.13 Super Blond Platino Beige,1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAAJ0BI,https://www.amazon.it/dp/B00CGPP2IW,,,,,,,,,,
,simple,FAN86086,,D´Shila Plasters and bandages-Protect fingers - 250 gr,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAIUK7I,https://www.amazon.it/dp/B00CGPLSH6,,,,,,,,,,
,simple,FAN86304,,Fanola Hair Color 100 ml variante di Fanola Hair Color 2 7.11 biondo medio intenso cenere,1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0430H1Z1YNL,https://www.amazon.it/dp/B00PZ0P2OE,,,,,,,,,,
,simple,FAN86324,,FANOLA TINTURA 12.2,1,,visible,,,,,taxable,,1,5,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0514HKK46CV,https://www.amazon.it/dp/B00PZ0QAY0,,,,,,,,,,
,simple,FAN86432,,TINTA ORO COLOR KERATING 100ML 10,1,,visible,,,,,taxable,,1,12,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6C1ZZ5,https://www.amazon.it/dp/B00GIMCZIY,,,,,,,,,,
,simple,FAN86433,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 4.2,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6O3JMJ,https://www.amazon.it/dp/B00GIMD0TC,,,,,,,,,,
,simple,FAN86463,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 11.7,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6I25LO,https://www.amazon.it/dp/B01EJZSOH2,,,,,,,,,,
,simple,FAN96358,,Fanola Tinte 8.2F Rubio claro violeta fantasía 100 mL - Tinte crema colorante permanente para el cabello pelo - Color uniforme y brillante - PROFESIONAL,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAAMCM3,https://www.amazon.it/dp/B01N5I01EJ,,,,,,,,,,
,simple,ITM1540N-S,,SANITEC igiene sicura Bakterio Disinfettante per Ambienti al Profumo di Pino Balsamico,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,9.20,,,,,,,,,,,,,,,0401F76XO2T,https://www.amazon.it/dp/B00NO1R50K,,,,,,,,,,
