ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi,Meta: _asin,Meta: _amazon_url,Meta: _et_builder_dynamic_assets_loading_attr_threshold,Meta: _last_change_time,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content
,simple,CX7272S,,"ASCIUGAMANI IN CARTA DOPPIO VELO RICICLATA PIEGATA A V CON GRADO DI BIANCO 75%, CONFEZIONE 3000 FOGLIETTI",1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,24.40,,,,,,,,,,,,,,,0129HOBW0KM,https://www.amazon.it/dp/B015MUWM58,,,,,,,,,,
,simple,FAN1076058,,FANOLA Nourishing Balsamo Bifasico Ristrutturante Senza risciacquo 200ml,1,,visible,,,,,taxable,,1,9,,,0,,,,,,,,12.70,Fanola,,,,,,,,,,,,,,0326FP48MNL,https://www.amazon.it/dp/B08L4H812D,,,,,,,,,,
,simple,FAN1076267,,"Fanola Wonder Shampoo Nourishing Extra Care, Shampoo Ristrutturante per Capelli Fini Secchi, Crespi e Trattati ad Azione Delicata, per Capelli Morbidi e Luminosi senza Siliconi, 1000 ml",1,,visible,,,,,taxable,,1,7,,,0,,,,,,,,15.50,Fanola,,,,,,,,,,,,,,0109HTRQE1L,https://www.amazon.it/dp/B0BYDRZL9C,,,,,,,,,,
,simple,FAN86006,,"FANOLA - Crema colorante per capelli, 100 ml, 7.0 biondo",1,,visible,,,,,taxable,,1,3,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HA978DM,https://www.amazon.it/dp/B00CGPKV8I,,,,,,,,,,
,simple,FAN86030,,"FANOLA - Crema colorante per capelli Fanola, 100 ml, 7.14, tabacco",1,,visible,,,,,taxable,,1,3,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAI6QCJ,https://www.amazon.it/dp/B00CGPM99C,,,,,,,,,,
,simple,FAN86036,,"Fanola Crema colorante colorante 7.3 Blond Gold, 100 ml",1,,visible,,,,,taxable,,1,3,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAG1DE9,https://www.amazon.it/dp/B00CGPJ3Z0,,,,,,,,,,
,simple,FAN86050,,"FANOLA - Crema colorante per capelli, 100 ml, 6.44, biondo scuro vivace, rame",1,,visible,,,,,taxable,,1,3,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAAHBMU,https://www.amazon.it/dp/B00CGPKOXK,,,,,,,,,,
,simple,FAN86070,,"FANOLA - Crema colorante per capelli, 100 ml, rosso Correctors",1,,visible,,,,,taxable,,1,3,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAG45UX,https://www.amazon.it/dp/B00PZ0R97M,,,,,,,,,,
,simple,FAN86303,,"FANOLA - Crema colorante per capelli, 100 ml, 6.11, biondo scuro",1,,visible,,,,,taxable,,1,9,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAIKNCG,https://www.amazon.it/dp/B00PZ0PFCS,,,,,,,,,,
,simple,FAN86312,,"Fanola Crema colore Colouring Cream 6.29 Zartbitter Cioccolato, 100 ml",1,,visible,,,,,taxable,,1,3,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0430H22HFV3,https://www.amazon.it/dp/B07GFQ6T1W,,,,,,,,,,
