SKU,ID,NOME_ATTUALE,RICHIESTA
FAN86068,1683,CORRETTORE BLU FANOLA 100 ML,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86322,2591,CREMA COLORE CAPELLI 100 ML 12.0 SUPER BIONDO PLATINO EXTRA,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86031,2578,CREMA COLORE CAPELLI 100 ML 2.2 BRUNO VIOLA,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86032,2579,CREMA COLORE CAPELLI 100 ML 4.2 CASTANO VIOLA,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86310,2628,CREMA COLORE CAPELLI 100 ML 4.29 CIOCCOLATO SCURO,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86314,2590,CREMA COLORE CAPELLI 100 ML 4.66 CASTANO ROSSO INTENSO,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86302,2629,CREMA COLORE CAPELLI 100 ML 5.11 CASTANO CHIARO CENERE INTENSO,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86303,2587,CREMA COLORE CAPELLI 100 ML 6.11 BIONDO SCURO CENERE INTENSO,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86312,2589,CREMA COLORE CAPELLI 100 ML 6.29 CIOCCOLATO FONDENTE,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86050,2582,CREMA COLORE CAPELLI 100 ML 6.44 BIONDO SCURO RAME INTENSO,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86030,2577,CREMA COLORE CAPELLI 100 ML 7.14 TABACCO,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86017,2575,CREMA COLORE CAPELLI 100 ML 8.04 BIONDO CHIARO RAME NATURALE,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86037,2581,CREMA COLORE CAPELLI 100 ML 8.3 BIONDO CHIARO DORATO,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86052,2630,CREMA COLORE CAPELLI 100 ML 8.44 BIONDO CHIARO RAME INTENSO,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86089,2583,CREMA COLORE CAPELLI 100 ML TONER NATURALE,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86327,2594,"FANOLA Hair Color - Crema colorante, 100 ml, viola",Foto tubo viola + cartoncino (tinta normale con ammoniaca)
FAN86090,1678,Fanola Tinta Crema Colore 100 ML Argento,Foto tubo viola + cartoncino (tinta normale con ammoniaca)
