SKU SITO,NOTE,STATO,SKU AMAZON,COD ARTICOLO,NOME GESTIONALE,QTY GIACENZA,QTY VENDUTA,TIPO MATCH,SCORE,TITOLO AMAZON,PREZZO AMAZON,ASIN,URL AMAZON,DESCR. AMAZON
AMU419628,VARIANTE,✅ SU WOOCOMMERCE (codice NON unico),JZ-XT6G-ZZ4B,AMU419628,AMUCHINA SUPERFICI SPRAY PMC FLAC. ML.750 T/12,144,50,🟠 DEBOLE (46.4%),464,DISINFETTANTE SGRASSATORE USO PROFESSIONALE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN - CONFEZIONE DA 3 FLACONI,,0220HGFEPHO,https://www.amazon.it/dp/B0GPFBGPL1,DISINFETTANTE SGRASSATORE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN
AMU419628,,✅ SU WOOCOMMERCE (codice NON unico),1V-DO8I-3LBF,AMU419628,AMUCHINA SUPERFICI SPRAY PMC FLAC. ML.750 T/12,144,50,🟠 DEBOLE (46.4%),464,DISINFETTANTE SGRASSATORE USO PROFESSIONALE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN,999,0617FK2BOPF,https://www.amazon.it/dp/B0FDGNQWQF,DISINFETTANTE SGRASSATORE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN
AMU419631,,✅ SU WOOCOMMERCE (codice NON unico),AMU419631,AMU419631,AMUCHINA GEL X-GERM 80 ML CRT. 12 PZ,0,118,DIRETTO (SKU=COD),100,"Gel Mani Igienizzante Senza Risciacquo 80 Ml – Detergente Mani Tascabile ad Asciugatura Rapida, Formula Delicata, Ideale per Casa, Ufficio, Viaggi e Auto",86,0507HQTF9IS,https://www.amazon.it/dp/B0GZWLWBTR,"<p><strong>Gel Mani Igienizzante Senza Risciacquo 80 Ml</strong>, pratico e veloce da utilizzare ogni giorno per detergere le mani anche fuori casa.</p> <p>La sua formula ad asciugatura rapida aiuta a mantenere le mani pulite senza bisogno di acqua o sapone. La texture leggera non appiccica e lascia una piacevole sensazione di freschezza dopo ogni utilizzo.</p> <p>Il formato compatto da <strong>80 ml</strong> è ideale da portare sempre con sé: in borsa, nello zaino, in auto, in ufficio, a scuola o durante i viaggi.</p> <p>Perfetto per l’uso quotidiano in molte situazioni: mezzi pubblici, palestra, shopping, lavoro e spostamenti frequenti.</p> <ul> <li>Gel mani senza risciacquo</li> <li>Formato tascabile da 80 ml</li> <li>Asciugatura rapida</li> <li>Non appiccicoso</li> <li>Ideale per uso quotidiano</li> </ul>"
AMU419631,VARIANTE AMAZON DA 12 PEZZI,✅ SU WOOCOMMERCE (codice NON unico),AMU419631-12,,,,,🟠 DEBOLE (42.2%),422,"Gel Mani Igienizzante Senza Risciacquo 80 Ml – Detergente Mani Tascabile ad Asciugatura Rapida, Formula Delicata, Ideale per Casa, Ufficio, Viaggi e Auto - CONFEZIONE DA 12 FLACONI",417,0508HUYNUWM,https://www.amazon.it/dp/B0H11GV5JN,"<p><strong>Gel Mani Igienizzante Senza Risciacquo 80 Ml</strong>, pratico e veloce da utilizzare ogni giorno per detergere le mani anche fuori casa.</p> <p>La sua formula ad asciugatura rapida aiuta a mantenere le mani pulite senza bisogno di acqua o sapone. La texture leggera non appiccica e lascia una piacevole sensazione di freschezza dopo ogni utilizzo.</p> <p>Il formato compatto da <strong>80 ml</strong> è ideale da portare sempre con sé: in borsa, nello zaino, in auto, in ufficio, a scuola o durante i viaggi.</p> <p>Perfetto per l’uso quotidiano in molte situazioni: mezzi pubblici, palestra, shopping, lavoro e spostamenti frequenti.</p> <ul> <li>Gel mani senza risciacquo</li> <li>Formato tascabile da 80 ml</li> <li>Asciugatura rapida</li> <li>Non appiccicoso</li> <li>Ideale per uso quotidiano</li> </ul>"
AMU419631,VARIANTE AMAZON DA 6 PEZZI,✅ SU WOOCOMMERCE (codice NON unico),HZ-5E3Q-4N98,,,,,🟠 DEBOLE (42.2%),422,"Gel Mani Igienizzante Senza Risciacquo 80 Ml – Detergente Mani Tascabile ad Asciugatura Rapida, Formula Delicata, Ideale per Casa, Ufficio, Viaggi e Auto - CONFEZIONE DA 6 FLACONI",243,0508HU8H5NM,https://www.amazon.it/dp/B0GZZZG6LQ,"<p><strong>Gel Mani Igienizzante Senza Risciacquo 80 Ml</strong>, pratico e veloce da utilizzare ogni giorno per detergere le mani anche fuori casa.</p> <p>La sua formula ad asciugatura rapida aiuta a mantenere le mani pulite senza bisogno di acqua o sapone. La texture leggera non appiccica e lascia una piacevole sensazione di freschezza dopo ogni utilizzo.</p> <p>Il formato compatto da <strong>80 ml</strong> è ideale da portare sempre con sé: in borsa, nello zaino, in auto, in ufficio, a scuola o durante i viaggi.</p> <p>Perfetto per l’uso quotidiano in molte situazioni: mezzi pubblici, palestra, shopping, lavoro e spostamenti frequenti.</p> <ul> <li>Gel mani senza risciacquo</li> <li>Formato tascabile da 80 ml</li> <li>Asciugatura rapida</li> <li>Non appiccicoso</li> <li>Ideale per uso quotidiano</li> </ul>"
AMU419720,,✅ SU WOOCOMMERCE,AMU419720,AMU419720,AMUCHINA 100% FLAC. ML.500 CRT. 12 PZ,0,12,DIRETTO (SKU=COD),100,AMUCHINA 500ML by AMUCHINA,142,0513HEU6Q2R,https://www.amazon.it/dp/B01N3PSZXE,
AMU419841,RIFERITO A CONFEZIONE DA 6 PEZZI,✅ SU WOOCOMMERCE (codice NON unico),XB-XMM0-T727,AMU419841,SALVIETTE XGERM DISINFETTANTI MANI CRT. 6 PZ,47,881,🟡 INCERTO (63.4%),634,Salviette Xgerm Disinfettanti per le Mani - Busta da 20 Salviette - Confezione da 6 Buste,2399,0627FJ2YIXD,https://www.amazon.it/dp/B0FFT99FLC,SALVIETTE XGERM DISINFETTANTI PER LE MANI AMUCHINA - BUSTA DA 20 SALVIETTE - CONFEZIONE DA 6 BUSTE
AMU419841,RIFERITO A CONFEZIONE DA 12 PEZZI,✅ SU WOOCOMMERCE (codice NON unico),FL-F0UY-H83Q,AMU419841,SALVIETTE XGERM DISINFETTANTI MANI CRT. 6 PZ,47,881,🟡 INCERTO (63.4%),634,SALVIETTE XGERM DISINFETTANTI PER LE MANI AMUCHINA - BUSTA DA 20 SALVIETTE - CONFEZIONE DA 12 BUSTE,41,0627FIXMIM3,https://www.amazon.it/dp/B0FFT7FBP9,SALVIETTE XGERM DISINFETTANTI PER LE MANI AMUCHINA - BUSTA DA 20 SALVIETTE - CONFEZIONE DA 12 BUSTE
AMU419841,RIFERITO A SINGOLO PEZZO,✅ SU WOOCOMMERCE (codice NON unico),AM-SALVXGERM,AMU419841,SALVIETTE XGERM DISINFETTANTI MANI CRT. 6 PZ,47,881,🟡 INCERTO (61.7%),617,Amuchina Salviette Xgerm Disinfettanti per le Mani - Confezione da 20 Salviette,999,0617FKA3FDR,https://www.amazon.it/dp/B0FDGQ3R83,SALVIETTE XGERM DISINFETTANTI PER LE MANI AMUCHINA - CF. 20 SALVIETTE
CC11013602,,✅ SU WOOCOMMERCE,TM-LI1E-B7EI,CC11013602,CARTA FORNO ROTOLO H.360 MT.50 IN BOX CRT. 6 PZ (4536050),27,9,🟡 INCERTO (52.3%),523,CARTA FORNO PROFESSIONAL - ROTOLO DA 50 METRI - ALTEZZA 36 CM,151,0512FGU4CWC,https://www.amazon.it/dp/B0F8BM9WNX,CARTA FORNO PROFESSIONAL - ROTOLO DA 50 METRI - ALTEZZA 36 CM
