SKU_SITO,NOME_SITO,SKU_AMAZON,PEZZI,CONFIDENZA,FONTE,TITOLO_AMAZON,NOTA
AMU419628,AMUCHINA SUPERFICI SPRAY PMC FLAC. ML.750 T/12,JZ-XT6G-ZZ4B,3,DA_VERIFICARE,TITOLO,DISINFETTANTE SGRASSATORE USO PROFESSIONALE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN - CONFEZIONE DA 3 FLACONI,VARIANTE
AMU419628,AMUCHINA SUPERFICI SPRAY PMC FLAC. ML.750 T/12,1V-DO8I-3LBF,1,singolo,singolo,DISINFETTANTE SGRASSATORE USO PROFESSIONALE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN,
AMU419631,,AMU419631-12,12,ALTA,NOTA,"Gel Mani Igienizzante Senza Risciacquo 80 Ml – Detergente Mani Tascabile ad Asciugatura Rapida, Formula Delicata, Ideale per Casa, Ufficio, Viaggi e Auto - CONFEZIONE DA 12 FLACONI",VARIANTE AMAZON DA 12 PEZZI
AMU419631,,HZ-5E3Q-4N98,6,ALTA,NOTA,"Gel Mani Igienizzante Senza Risciacquo 80 Ml – Detergente Mani Tascabile ad Asciugatura Rapida, Formula Delicata, Ideale per Casa, Ufficio, Viaggi e Auto - CONFEZIONE DA 6 FLACONI",VARIANTE AMAZON DA 6 PEZZI
AMU419631,AMUCHINA GEL X-GERM 80 ML  CRT. 12 PZ,AMU419631,1,singolo,singolo,"Gel Mani Igienizzante Senza Risciacquo 80 Ml – Detergente Mani Tascabile ad Asciugatura Rapida, Formula Delicata, Ideale per Casa, Ufficio, Viaggi e Auto",
AMU419841,SALVIETTE XGERM DISINFETTANTI MANI CRT. 6 PZ,AM-SALVXGERM,20,DA_VERIFICARE,TITOLO,Amuchina Salviette Xgerm Disinfettanti per le Mani - Confezione da 20 Salviette,RIFERITO A SINGOLO PEZZO
AMU419841,SALVIETTE XGERM DISINFETTANTI MANI CRT. 6 PZ,FL-F0UY-H83Q,12,ALTA,NOTA,SALVIETTE XGERM DISINFETTANTI PER LE MANI AMUCHINA - BUSTA DA 20 SALVIETTE - CONFEZIONE DA 12 BUSTE,RIFERITO A CONFEZIONE DA 12 PEZZI
AMU419841,SALVIETTE XGERM DISINFETTANTI MANI CRT. 6 PZ,XB-XMM0-T727,6,ALTA,NOTA,Salviette Xgerm Disinfettanti per le Mani - Busta da 20 Salviette - Confezione da 6 Buste,RIFERITO A CONFEZIONE DA 6 PEZZI
CXC59615,ROTOLONE DI CARTA BLU FOOD 3 VELI 500 STRAPPI CELTEX 59615 - CONFEZIONE 2 ROTOLONI,6C-17D8-VTBU,2,ALTA,GESTIONALE,ROTOLONE DI CARTA BLU FOOD 3 VELI 500 STRAPPI CELTEX 59615 - CONFEZIONE 2 ROTOLONI,
ICOM1301,RIVIT MANI EMULSIONE IGIENIZZANTE MANI 100 ML,YE-77J2-AG1L,6,ALTA,NOTA,SAPOLE LATTE MANI NATURERB IGIENIZZANTE 500 ML CON DOSATORE - CARTONE DA 6 PEZZI,SU AMAZON RIFERITO A CF 6 PZ
ICOM1307,BAGNO DOCCIA LATTE NATUREB FLACONE 1.000 ML - CONFEZIONE DA 12 FLACONI,FL-UJU7-MF3J,12,ALTA,GESTIONALE,BAGNO DOCCIA LATTE NATUREB FLACONE 1.000 ML - CONFEZIONE DA 12 FLACONI,
ID1100.001,TANGA DONNA CONF. 100 PEZZI,WC-YDY3-41AT,3,ALTA,NOTA,Xanitalia Tanga Donna Bianco MONOUSO - 4 CONF. da 100 PZ (Totale 400 Pezzi),SU AMAZON COSSIPONDE AD UN PACCO DA 3 CONF
ID1100.001,TANGA DONNA CONF. 100 PEZZI,ME-ALIN-6WFF,3,ALTA,NOTA,Xanitalia Tanga Donna Bianco MONOUSO - 3 CONF. da 100 PZ (Totale 300 Pezzi),SU AMAZON COSSIPONDE AD UN PACCO DA 3 CONF
ID1100.001,TANGA DONNA CONF. 100 PEZZI,5L-AFRJ-2XEF,2,ALTA,NOTA,Xanitalia Tanga Donna Bianco MONOUSO - 2 CONF. 100 PZ (Totale 200 Pezzi),SU AMAZON COSSIPONDE AD UN PACCO DA 2 CONF
ID1100.001,TANGA DONNA CONF. 100 PEZZI,1.100.001,1,singolo,singolo,Xanitalia TANGA DONNA BIANCO MONOUSO 100PZ,
"ID120,021",Idema Barattolo Cera Zinco 400 ml. - Confezione da 3 barattoli,T8-XVN6-QXFZ3,3,DA_VERIFICARE,TITOLO,Idema Barattolo Cera Zinco 400 ml. - Confezione da 3 barattoli,Corretto Nome
"ID120,021",CERA BARATTOLO TITANIO ROSA 400 ML - RO,T8-XVN6-QXFZ2,2,ALTA,NOTA,Idema Barattolo Cera Zinco 400 ml. - Confezione da 2 barattoli,SU AMAZON CONFEZIONE DA 2 BARATTOLI
"ID120,021",,7Z-IDGG-VCDR,2,ALTA,NOTA,Idema Latta Cera Zinco 400 ml. - Confezione da 2 latte,VARIANTE DA 2 PEZZI
"ID120,021",,T8-XVN6-QXFZ,1,singolo,singolo,Idema Latta Cera Zinco 400 ml.,
ID120017,RICARICA TITANIO RULLO MINI viso 100 ML CRT/24,1C-2QYZ-8XJA,12,DA_VERIFICARE,TITOLO,RICARICA RULLO MICROMICA 100ML - CF 12 PZ,
ID120017,RICARICA TITANIO RULLO MINI viso 100 ML CRT/24,M1-4PX6-90YA,12,ALTA,NOTA,Kit 12 Ricariche Cera Depilatoria Viso Rosa Rullo Grande 12x100ML Cartuccia Roll-On,SU AMAZON CONFEZIONE DA 12 CARTUCCE
"ID1500,001",RULLO RICARICA PREMIUM TITANIO 80 ML - CF 6 PZ,PY-5FLB-9784,6,ALTA,GESTIONALE,RULLO RICARICA PREMIUM TITANIO 80 ML - CF 6 PZ,
"ID180,001",CERA LIPOSOLUBILE MICROMICA 400 ML BASIC LINE T/24,ID-180.033-6,6,ALTA,NOTA,Basic Line Idema Cera depilatoria liposolubile professionale 400 ml. - CF 6 PZ (6),SU AMAZON PACCHETTO DA 6 BARATTOLI
"ID180,001",CERA LIPOSOLUBILE MICROMICA 400 ML BASIC LINE T/24,3G-KAPE-3OJZ,6,ALTA,NOTA,Basic Line Idema Cera depilatoria liposolubile professionale 400 ml. - CF 6 PZ,SU AMAZON PACCHETTO DA 6 BARATTOLI
"ID180,001",,ID-180.033,1,singolo,singolo,"Idema - Basic Line Cera Depilatoria liposolubile professionale ideale per ogni parte del corpo, Giallo Miele, formato da 400 ML",
"ID180,025",CERA LIPOSOLUBILE ROSA AL TITANIO 400 ML BASIC LINE T/24,CZ-IRWH-EUB5,3,ALTA,NOTA,CERA DEPILATORIA LIPOSOLUBILE TITANIUM - BARATTOLO DA 400 ML - CONFEZIONE DA 3 BARATTOLI,SU AMAZON CONFEZIONE 3 BARATTOLI
"ID180,033",CERA LIPOSOLUBILE MICROMICA 400 ML BASIC LINE T/24,180.033B,24,ALTA,NOTA,CERETTA DEPILATORIA LIPOSOLUBILE MICROMICA 400 ML (24),SU AMAZON CONFEZIONE DA 24 BARATTOLI
"ID180,033",CERA LIPOSOLUBILE MICROMICA 400 ML BASIC LINE T/24,RW-3V32-QUX9,24,ALTA,NOTA,CERETTA DEPILATORIA LIPOSOLUBILE MICROMICA 400 ML,SU AMAZON CONFEZIONE DA 24 BARATTOLI
"ID180,033",CERA LIPOSOLUBILE MICROMICA 400 ML BASIC LINE T/24,E7-B5K0-C9UF1,3,ALTA,NOTA,CERETTA DEPILATORIA LIPOSOLUBILE MICROMICA 400 ML (3),SU AMAZON CONFEZIONE DA 3 BARATTOLI
"ID180,033",CERA LIPOSOLUBILE MICROMICA 400 ML BASIC LINE T/24,180.033A,3,ALTA,NOTA,CERETTA DEPILATORIA LIPOSOLUBILE MICROMICA 400 ML (3),SU AMAZON CONFEZIONE DA 3 BARATTOLI
"ID180,033",CERA LIPOSOLUBILE MICROMICA 400 ML BASIC LINE T/24,E7-B5K0-C9UF,1,singolo,singolo,CERETTA DEPILATORIA LIPOSOLUBILE MICROMICA 400 ML,
"ID180,033",CERA LIPOSOLUBILE MICROMICA 400 ML BASIC LINE T/24,UM-BVY3-8EJM,1,singolo,singolo,CERETTA DEPILATORIA LIPOSOLUBILE MICROMICA 400 ML,
"ID920,209",CERA LIPOSOLUBILE GIALLA 400 ML BASIC LINE T/24,50-H9R4-DTCJ,2,ALTA,NOTA,"Cera Brasiliana Liposolubile Gocce Xanitalia, Depilazione senza Strisce, sacchetto1 Kg (Black) - Confezione da 2 sacchetti da 1 Kg",SU AMAZON CONF 2 PACCHI
"ID920,209",CERA LIPOSOLUBILE GIALLA 400 ML BASIC LINE T/24,5I-RT0P-GT2Q,1,singolo,singolo,"Ceretta Brasiliana, Cera Brasiliana Liposolubile Gocce Xanitalia, Depilazione senza Strisce, 1 Kg (Black)",
"ID920,209",CERA MULTIDIREZIONALE PASSION FRUIT BUSTA 1000 GR,FM-JC29-243H,1,singolo,singolo,Pellet di miele di cera pelabile Xanitalia 1000 Grs,
"ID920,209",CERA MULTIDIREZIONALE PASSION FRUIT BUSTA 1000 GR,FA-3EA8-RYKT,1,singolo,singolo,Pellet di miele di cera pelabile Xanitalia 1000 Grs,
ID920.300,OLIO DOPOCERA ARGAN ML.500,VK-F79A-AB0V,3,ALTA,NOTA,OLIO DOPOCERA ARGAN XANITALIA FLACONE 500 ML - CONFEZIONE DA 3 FLACONI,VARIANTE SU AMAZON DA 3 FLACONI
ID920.300,OLIO DOPOCERA ARGAN ML.500,ID-920.300,3,ALTA,NOTA,OLIO DOPOCERA ARGAN XANITALIA FLACONE 500 ML - CONFEZIONE DA 3 FLACONI (3),VARIANTE SU AMAZON DA 3 FLACONI
ID920.300,OLIO DOPOCERA ARGAN ML.500,F1-0RO3-GXM1,1,singolo,singolo,"Olio dopocera, Argan, 500 ml",
ID930.652,CERA MULTIDIREZIONALE LIME BUSTA 1000GR,ID-930.652.6,6,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Lime Perfect Touch Film Cera sacchetto 1000 Gr - Confezione da 6 sacchetti,VARIANTE AMAZON 6 BUSTE
ID930.652,CERA MULTIDIREZIONALE LIME BUSTA 1000GR,TJ-PPDN-UXS3,3,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Lime Perfect Touch Film Cera sacchetto 1000 Gr - Confezione da 3 sacchetti,VARIANTE AMAZON 3 BUSTE
ID930.652,CERA MULTIDIREZIONALE LIME BUSTA 1000GR,ID-930..652.3,3,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Lime Perfect Touch Film Cera sacchetto 1000 Gr - Confezione da 3 sacchetti (3),VARIANTE AMAZON 3 BUSTE
ID930.652,CERA MULTIDIREZIONALE LIME BUSTA 1000GR,ID-930.652.2,2,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Lime Perfect Touch Film Cera sacchetto 1000 Gr - Confezione da 2 sacchetti,VARIANTE AMAZON 2 BUSTE
ID930.652,CERA MULTIDIREZIONALE LIME BUSTA 1000GR,ID-930.652,1,singolo,singolo,Xanitalia Pro Il Multidirezionale Lime Perfect Touch Film Cera - 1000 Gr,
ID930.653,CERA MULTIDIREZIONALE COCCO BUSTA 1000GR,ID-930.653-6,6,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Cocco Perfect Touch Film Cera - 1000 Gr - CF 6 PZ,VARIANTE AMAZON 6 BUSTE
ID930.653,CERA MULTIDIREZIONALE COCCO BUSTA 1000GR,QN-037V-M35T,6,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Cocco Perfect Touch Film Cera - 1000 Gr - CF 6 PZ,VARIANTE AMAZON 6 BUSTE
ID930.653,CERA MULTIDIREZIONALE COCCO BUSTA 1000GR,ID-930.653-3,3,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Cocco Perfect Touch Film Cera - 1000 Gr - CF 3 PZ,VARIANTE AMAZON 3 BUSTE
ID930.653,CERA MULTIDIREZIONALE COCCO BUSTA 1000GR,ID-930.653-2,2,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Cocco Perfect Touch Film Cera - 1000 Gr - CF 2 PZ,VARIANTE AMAZON 2 BUSTE
ID930.654,CERA MULTIDIREZIONALE MANGO BUSTA 1000GR,ID-930.652-6,6,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Mango Perfect Touch Film Cera - Sacchetto 1000 Gr - Confezione da 6 sacchetti,SU AMAZON CONF. 6 BUSTE
ID930.654,CERA MULTIDIREZIONALE MANGO BUSTA 1000GR,ID-930.654-3,3,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Mango Perfect Touch Film Cera - Sacchetto 1000 Gr - Confezione da 3 sacchetti,SU AMAZON CONF. 3 BUSTE
ID930.655,CERA MULTIDIREZIONALE PASSION FRUIT BUSTA 1000 GR,TA-NF4J-SVRP,6,DA_VERIFICARE,TITOLO,Xanitalia Pro Il Multidirezionale Frutto Della Passione Perfect Touch Film Cera - Sacchetto 1000 Gr - Confezione da 6 sacchetti,CODICE VARIANTE AMAZON
ID930.655,CERA MULTIDIREZIONALE PASSION FRUIT BUSTA 1000 GR,ID-930.655.6,6,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Frutto Della Passione Perfect Touch Film Cera - Sacchetto 1000 Gr - Confezione da 6 sacchetti,SU AMAZON CONF. 6 BUSTE
ID930.655,CERA MULTIDIREZIONALE PASSION FRUIT BUSTA 1000 GR,ID-930.655.3,3,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Frutto Della Passione Perfect Touch Film Cera - Sacchetto 1000 Gr - Confezione da 3 sacchetti (3),SU AMAZON CONF. 3 BUSTE
ID930.655,CERA MULTIDIREZIONALE PASSION FRUIT BUSTA 1000 GR,ID-930.655.2,2,ALTA,NOTA,Xanitalia Pro Il Multidirezionale Frutto Della Passione Perfect Touch Film Cera - Sacchetto 1000 Gr - Confezione da 2 sacchetti (2),VARIANTE AMAZON 2 BUSTE
ID930.655,CERA MULTIDIREZIONALE PASSION FRUIT BUSTA 1000 GR,ID-930.655,1,singolo,singolo,"Xanitalia Pro Il Multidirezionale Frutto Della Passione Perfect Touch Film Cera - 1000 Gr, Bianco",CONFEZIONE SINGOLA
IENLL/L,GUANTI NITRILE BLU p.free PALMPRO533 SCT.100 PZ TG.L,IENLL/L,10,ALTA,NOTA,Generico Guanto in Nitrile Essential 533 - Scatola da 100 Guanti - Confezione da 10 Scatole - Large,SU AMAZON VIENE VENDUTA IN CARTONI DA 10 CONFEZIONI
IENLL/M,GUANTI NITRILE BLU p.free PALMPRO533 SCT.100 PZ TG.M,IENLL/M,10,ALTA,NOTA,Generico Guanto in Nitrile Essential 533 - Scatola da 100 Guanti - Confezione da 10 Scatole - Medio,SU AMAZON VIENE VENDUTA IN CARTONI DA 10 CONFEZIONI
IENLL/S,GUANTI NITRILE BLU p.free PALMPRO533 SCT.100 PZ TG.S,IENLL/S,10,ALTA,NOTA,Generico Guanto in Nitrile Essential 533 - Scatola da 100 Guanti - Confezione da 10 Scatole - Small,SU AMAZON VIENE VENDUTA IN CARTONI DA 10 CONFEZIONI
IEVSP/L,GUANTI VINILE p.free PALMPRO 511 SCAT. 100 PZ TG.L,EVSP-L-10,10,ALTA,NOTA,Generico Guanti in Vinile Essential 511 - Taglia L - Scatola da 100 Guanti - Confezione da 10 Scatole,VARIANTE DA 10 CONFEZIONI
IEVSP/L,GUANTI VINILE p.free PALMPRO 511 SCAT. 100 PZ TG.L,EVSP-M-10,10,ALTA,NOTA,Generico GUANTO IN VINILE ESSENTIAL 511 - TAGLIA M - SCATOLA DA 100 GUANTI - CONFEZIONE DA 10 SCATOLE,VARIANTE DA 10 CONFEZIONI
IEVSP/L,GUANTI VINILE p.free PALMPRO 511 SCAT. 100 PZ TG.L,EVSP-M-6,6,ALTA,NOTA,Generico GUANTO IN VINILE ESSENTIAL 511 - TAGLIA M - SCATOLA DA 100 GUANTI - CONFEZIONE DA 6 SCATOLE,VARIANTE DA 6 CONFEZIONI
