SKU,NOME,ASIN,URL_AMAZON
FAN1076617,Fanola Wonder Volume Shampoo 350ml - shampoo volumizzante,0514HJLT3VK,https://www.amazon.it/dp/B0DPJL3KB3
AMU419628,DISINFETTANTE SGRASSATORE USO PROFESSIONALE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN,0617FK2BOPF,https://www.amazon.it/dp/B0FDGNQWQF
CC11013602,CARTA FORNO PROFESSIONAL - ROTOLO DA 50 METRI - ALTEZZA 36 CM,0512FGU4CWC,https://www.amazon.it/dp/B0F8BM9WNX
CC17030112,Film rotolo alluminio larghezza cm 30 lunghezza mt 100 con astuccio,0418FM9GWHM,https://www.amazon.it/dp/B01MT6RO9W
CC3530130,PELLICOLA TRASPARENTE - CUKI,0422FW6X4I9,https://www.amazon.it/dp/B086ZNH9ZN
CXC59615,ROTOLONE DI CARTA BLU FOOD 3 VELI 500 STRAPPI CELTEX 59615 - CONFEZIONE 2 ROTOLONI,0508F5E6FHX,https://www.amazon.it/dp/B0F7XV4WXG
FAN1076459,"Fanola FanTouch Curl Passion, Mousse Disciplinante per Capelli Ricci Naturali o Trattati, Azione Fissante per Ricci Morbidi ed Elastici, 300 ml",0109HU0WKYV,https://www.amazon.it/dp/B0CLVMRYVN
FAN1096813,Crema colore permanente per capelli senza ammoniaca 100ml-ORO Therapy (- 10.21 BIONDO PLATINO VIOLA CENERE),0423H6LXE30,https://www.amazon.it/dp/B07GFQ61XJ
FAN83710,"Fanola Crema colorante Colouring Cream 9.00 Biondo Chiaro Intensivo, 100 ml",0424HAF6B5M,https://www.amazon.it/dp/B01E8MDII6
FAN86001,"Fanola Crema Colore, 1.0 Nero, 100 ml",0424HAFEXXX,https://www.amazon.it/dp/B00CGPJ0ZS
FAN86002,FANOLA COLOR NATURALI 3.0,0424HAI4Q7E,https://www.amazon.it/dp/B015RYGG1U
FAN86003,FANOLA TINTURA 4.0 marrone,0424HAI87A3,https://www.amazon.it/dp/B00CGPMAHS
FAN86004,FANOLA TINTURA 5.0,0430H2COGSL,https://www.amazon.it/dp/B00CGPKNX6
FAN86009,"FANOLA - Crema tintura per capelli Fanola, 100 ml, 4.03, marrone medio caldo",0424HADIN06,https://www.amazon.it/dp/B00CGPJTTU
FAN86010,FANOLA COLOR NATURALI CALDI 5.03,0514HJSPUSG,https://www.amazon.it/dp/B00CGPIJNC
FAN86014,"FANOLA 9.03 - Crema colorante per capelli, 100 ml, biondo caldo molto chiaro",0424HAEZNZJ,https://www.amazon.it/dp/B00CGPKLUQ
FAN86018,FANOLA COLOR CENERE 1.10,0424HAENA00,https://www.amazon.it/dp/B00CGPLQ14
FAN86027,FANOLA COLOR MARRONI 4.14,0424HAIGV1Q,https://www.amazon.it/dp/B00CGPKIMM
FAN86034,"FANOLA - Crema tintura per capelli Fanola 100 ml 5.3, marrone chiaro e oro",0424HAIOD8H,https://www.amazon.it/dp/B00CGPKW00
FAN86047,FANOLA TINTURA 6.43,0424HAAI98Z,https://www.amazon.it/dp/B00CGPP0QQ
FAN86055,"Fanola 4.5 Medium Mahogany Brown Hair Coloring Cream, Tinta Castano Mogano, 100 ml",0430H2467RP,https://www.amazon.it/dp/B00CGPSR8Y
FAN86062,FANOLA COLOR SUPERSCHIARENTI 11.0,0424HAHVGTN,https://www.amazon.it/dp/B00CGPJMKQ
FAN86066,FANOLA - Crema per capelli Fanola 100 ml,0424HACABOE,https://www.amazon.it/dp/B00PZ0RQMU
FAN86069,"FANOLA Amarillo Fanola Corrector, per l uso quotidiano, 100 ml",0424HAIRCUS,https://www.amazon.it/dp/B00PZ0R4L8
FAN86072,Fanola Accessori colore - 150 gr,0424HAAJKIT,https://www.amazon.it/dp/B015RYGEBW
FAN86074,FANOLA TINTURA 5.1,0514HJ6U8YH,https://www.amazon.it/dp/B00CGPJI4Q
FAN86075,FANOLA COLOR CENERE 10.1,0424HAHY4ZS,https://www.amazon.it/dp/B00CGPM8T8
FAN86078,FANOLA TINTURA 10.14,0514HJC40WI,https://www.amazon.it/dp/B00CGPQ7BI
FAN86080,FANOLA TINTURA 10.3,0514HJCIXTO,https://www.amazon.it/dp/B00CGPQXMG
