ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,"In primo piano?","Visibilità nel catalogo","Breve descrizione",Descrizione,"Data di partenza del prezzo in saldo","Data in cui termina l'offerta","Stato delle imposte","Aliquota di imposta","In stock?",Magazzino,"Quantità in magazzino bassa","Abilita gli ordini arretrati?","Venduto singolarmente?","Peso (kg)","Lunghezza (cm)","Larghezza (cm)","Altezza (cm)","Permetti le recensioni clienti?","Nota di acquisto","Prezzo in offerta","Prezzo di listino",Categorie,Tag,"Classe di spedizione",Immagine,"Limite di download","Scarica i giorni di scadenza",Genitore,"Prodotti raggruppati",Up-sell,Cross-sell,"URL esterno","Testo del pulsante",Posizione,Marchi,"Meta: _asin","Meta: _amazon_url","Meta: _et_builder_dynamic_assets_loading_attr_threshold","Meta: _last_change_time","Meta: _et_pb_post_hide_nav","Meta: _et_pb_page_layout","Meta: _et_pb_side_nav","Meta: _et_pb_use_builder","Meta: _et_pb_first_image","Meta: _et_pb_truncate_post","Meta: _et_pb_truncate_post_date","Meta: _et_pb_old_content"
741,simple,AMU419631,,"Gel Mani Igienizzante Senza Risciacquo 80 Ml – Detergente Mani Tascabile ad Asciugatura Rapida, Formula Delicata, Ideale per Casa, Ufficio, Viaggi e Auto",1,0,visible,"AMUCHINA GEL X-GERM 80 ML   CRT. 12 PZ","<p><strong>Gel Mani Igienizzante Senza Risciacquo 80 Ml</strong>, pratico e veloce da utilizzare ogni giorno per detergere le mani anche fuori casa.</p> <p>La sua formula ad asciugatura rapida aiuta a mantenere le mani pulite senza bisogno di acqua o sapone. La texture leggera non appiccica e lascia una piacevole sensazione di freschezza dopo ogni utilizzo.</p> <p>Il formato compatto da <strong>80 ml</strong> è ideale da portare sempre con sé: in borsa, nello zaino, in auto, in ufficio, a scuola o durante i viaggi.</p> <p>Perfetto per l’uso quotidiano in molte situazioni: mezzi pubblici, palestra, shopping, lavoro e spostamenti frequenti.</p> <ul> <li>Gel mani senza risciacquo</li> <li>Formato tascabile da 80 ml</li> <li>Asciugatura rapida</li> <li>Non appiccicoso</li> <li>Ideale per uso quotidiano</li> </ul>",,,taxable,,1,,,0,0,,,,,1,,,"8,6","Pulizia e Igiene",,,https://overcomsrl.com/wp-content/uploads/2026/06/AMU419631.webp,,,,,,,,,0,,0507HQTF9IS,https://www.amazon.it/dp/B0GZWLWBTR,2,,,,,,,,,
742,simple,AMU419720,,"AMUCHINA 500ML by AMUCHINA",1,0,visible,"AMUCHINA 100% FLAC. ML.500   CRT. 12 PZ",,,,taxable,,1,,,0,0,,,,,1,,,"14,2","Pulizia e Igiene",,,https://overcomsrl.com/wp-content/uploads/2026/06/AMU419720.webp,,,,,,,,,0,,0513HEU6Q2R,https://www.amazon.it/dp/B01N3PSZXE,2,,,,,,,,,
743,simple,FAN1076025,,"FANOLA THERMO-PROTECTIVE CREAM",1,0,visible,"NO YELLOW THERMO-PROTECTIVE CREAM 150 ML",,,,taxable,,1,,,0,0,,,,,1,,,"17,7","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN1076025.webp,,,,,,,,,0,,0514HJLQQGM,https://www.amazon.it/dp/B089WD5G3Q,2,,,,,,,,,
744,simple,FAN1076082,,"FANOLA Crema Ossidante Viola Antigiallo 5 Vol 1000ml",1,0,visible,"VIOLET PEROXYDE 5 VOL crema ossidante viola 1000 ML",,,,taxable,,1,,,0,0,,,,,0,,,"11,4","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN1076082-1.webp,,,,,,,,,0,,0704F5Q6I21,https://www.amazon.it/dp/B096SRSRW2,2,1780669725,default,et_right_sidebar,off,,,,,
745,simple,FAN1076083,,"FANOLA Crema Ossidante Viola Antigiallo 25 Vol 1000ml",1,0,visible,"VIOLET PEROXYDE 25 VOL crema ossidante viola 1000 ML",,,,taxable,,1,,,0,0,,,,,0,,,"11,4","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN1076083-1.webp,,,,,,,,,0,,0704F5KY8QI,https://www.amazon.it/dp/B096S91BKN,2,1780669695,default,et_right_sidebar,off,,,,,
746,simple,FAN1076131,,"CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 1.0 NERO-FANOLA",1,0,visible,"COLOR ZOOM 1.0   100 ML.",,,,taxable,,1,,,0,0,,,,,1,,,"12,6","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN1076131.webp,,,,,,,,,0,,0506HM8UG0S,https://www.amazon.it/dp/B09QNVTYJH,2,1782734978,,,,,,,,
747,simple,FAN1076132,,"CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 3.0 CASTANO SCURO-FANOLA",1,0,visible,"COLOR ZOOM 3.0   100 ML.",,,,taxable,,1,,,0,0,,,,,1,,,"12,6","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN1076132.webp,,,,,,,,,0,,0506HMC0ZGK,https://www.amazon.it/dp/B09QNN4KRJ,2,1782734978,,,,,,,,
748,simple,FAN1076133,,"CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 4.0 CASTANO-FANOLA",1,0,visible,"COLOR ZOOM 4.0   100 ML.",,,,taxable,,1,,,0,0,,,,,1,,,"12,6","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN1076133.webp,,,,,,,,,0,,0506HM9CTRZ,https://www.amazon.it/dp/B09QP1RYY3,2,1782734978,,,,,,,,
749,simple,FAN1076134,,"CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 5.0 CASTANO CHIARO-FANOLA",1,0,visible,"COLOR ZOOM 5.0   100 ML.",,,,taxable,,1,,,0,0,,,,,1,,,"12,6","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN1076134.webp,,,,,,,,,0,,0506HM3FI2J,https://www.amazon.it/dp/B09QP1P71J,2,1782734978,,,,,,,,
750,simple,FAN1076135,,"CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 6.0 BIONDO SCURO-FANOLA",1,0,visible,"COLOR ZOOM 6.0   100 ML.",,,,taxable,,1,,,0,0,,,,,1,,,"12,6","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN1076135.webp,,,,,,,,,0,,0506HM89UMA,https://www.amazon.it/dp/B09QNSRPGM,2,1782734978,,,,,,,,
