SKU,NOME_WC,ASIN_ATTUALE,PROBLEMA,ASIN_CONSIGLIATO,CONFIDENZA_ABBINAMENTO
FAN86307,CREMA COLORE CAPELLI 100 ML 10.11 BIONDO PLAT,B00PZ0PJAQ,LINK non tra le offerte proposte,B00PZ0PMV2,🟢 AFFIDABILE
CR84570,Asciugamani Piegati V EXTRA 2.0 Centralcarta ,B0GWHYP3P1,LINK non tra le offerte proposte,B097XYSXMV,🟠 DEBOLE
ID120017,RICARICA RULLO MICROMICA 100ML,B0DY1MVJVQ,punta a PACCO x12 ma esiste la SINGOLA,B0DY1SVG7M,🟠 DEBOLE
ITM1821-S,Sanitec detergente disinfettante Multi Activ ,B07HQLVZNR,punta a PACCO x6 ma esiste la SINGOLA,B00YHIN77E,🟡 INCERTO
IENLL/L,Generico Guanto in Nitrile Essential 533 - Sc,B0H33RNJ8X,punta a PACCO x10 (Amazon ha solo pacchi),(nessuna singola su Amazon),
IENLL/M,Generico Guanto in Nitrile Essential 533 - Sc,B0H2ZYZYTS,punta a PACCO x10 (Amazon ha solo pacchi),(nessuna singola su Amazon),
IENLL/S,Generico Guanto in Nitrile Essential 533 - Sc,B0H2ZZ46HQ,punta a PACCO x10 (Amazon ha solo pacchi),(nessuna singola su Amazon),
AMU419841,Salviette Xgerm Disinfettanti per le Mani - B,B0FFT99FLC,punta a PACCO x6 (Amazon ha solo pacchi),(nessuna singola su Amazon),
ID1100.001,Xanitalia TANGA DONNA BIANCO MONOUSO 100PZ,B0783NW5XX,punta a PACCO x100 (Amazon ha solo pacchi),(nessuna singola su Amazon),
"ID1300,021",Xanitalia Spatola In Legno Stendi Cera conf.1,B095CSMJF3,punta a PACCO x100 (Amazon ha solo pacchi),(nessuna singola su Amazon),
ICOM1307,BAGNO DOCCIA LATTE NATUREB FLACONE 1.000 ML -,B0FHBC2PX5,punta a PACCO x12 (Amazon ha solo pacchi),(nessuna singola su Amazon),
ROK462,Generico KIMONO MONOUSO NERO UNISEX - CONF. 1,B0DXVHP17B,punta a PACCO x10 (Amazon ha solo pacchi),(nessuna singola su Amazon),
"ID180,025",CERA DEPILATORIA LIPOSOLUBILE TITANIUM - BARA,B0F8R6M9CD,punta a PACCO x3 (Amazon ha solo pacchi),(nessuna singola su Amazon),
ID930.653,Xanitalia Pro Il Multidirezionale Cocco Perfe,B0F4D4HPJL,punta a PACCO x6 (Amazon ha solo pacchi),(nessuna singola su Amazon),
ID930.654,Xanitalia Pro Il Multidirezionale Mango Perfe,B0FGPSXS1J,punta a PACCO x6 (Amazon ha solo pacchi),(nessuna singola su Amazon),
ICOM1301,RIVIT MANI EMULSIONE IGIENIZZANTE MANI 100 ML,B0F8J5DNWZ,punta a PACCO x6 (Amazon ha solo pacchi),(nessuna singola su Amazon),
"ID1500,001",RULLO RICARICA PREMIUM TITANIO 80 ML - CF 6 P,B0DY1MHYKY,punta a PACCO x6 (Amazon ha solo pacchi),(nessuna singola su Amazon),
"ID4441,15",Lama Sgorbia Sterile N° 15 Acciaio Kiepe Prof,B0GHNZBC8M,punta a PACCO x20 (Amazon ha solo pacchi),(nessuna singola su Amazon),
"KP4441,1",Lama Sgorbia Sterile N° 1 Acciaio Kiepe Profe,B0GH84WRMC,punta a PACCO x20 (Amazon ha solo pacchi),(nessuna singola su Amazon),
"KP4441,2",Lama Sgorbia Sterile N° 2 Acciaio Kiepe Profe,B0GHPHW5PX,punta a PACCO x20 (Amazon ha solo pacchi),(nessuna singola su Amazon),
"KP4441,6",Lama Sgorbia Sterile N° 6 Acciaio Kiepe Profe,B0GHNC4TZN,punta a PACCO x20 (Amazon ha solo pacchi),(nessuna singola su Amazon),
MD0496,HYGIENBAR CPR WASHING TAB - Detergente Tazzin,B0GWF8YNG9,punta a PACCO x160 (Amazon ha solo pacchi),(nessuna singola su Amazon),
MD07AX0401,PULITORE RAPIDO PER FRIGGITRICI FRY COMPRESSE,B0GFX9NVJY,punta a PACCO x25 (Amazon ha solo pacchi),(nessuna singola su Amazon),
RODEP539,OLIO POST-EPILAZIONE 1000 ML,B0DY1PN3K8,punta a PACCO x20 (Amazon ha solo pacchi),(nessuna singola su Amazon),
SIGBPC003BIO50B,Piatto Liscio Diam. 22 cm in Polpa di Cellulo,B0FD3W66QH,punta a PACCO x500 (Amazon ha solo pacchi),(nessuna singola su Amazon),
SM0217/10,FORCHETTA SIAM QUALITY BIODEGRADABILE E COMPO,B0F7RL5GDX,punta a PACCO x50 (Amazon ha solo pacchi),(nessuna singola su Amazon),
SM0217/11,Generico COLTELLI SIAM QUALITY BIODEGRADABILE,B0F7XM8SMF,punta a PACCO x50 (Amazon ha solo pacchi),(nessuna singola su Amazon),
VD11705,BIS DI POSATE BIANCHE IMBUSTATE CON TOVAGLIOL,B0FCY3VFG7,punta a PACCO x25 (Amazon ha solo pacchi),(nessuna singola su Amazon),
