SKU,FILE_WEBP,URL_PACKSHOT_UFFICIALE,URL_CIOCCA_NUANCE,TIPO_IMMAGINE,STATO,NOTE
FAN1076617,FAN1076617.webp,https://agf88holding-cdn.thron.com/static/UUU33W_VARIANT_1076617_000__8008277766171_00-1920x1920_98W5Z7_O8U34P.png,,packshot variante,sicuro,"variante 1076617, EAN 8008277766171, pagina: Wonder Volume shampoo WONDER VOLUME"
FAN1076459,FAN1076459.webp,https://agf88holding-cdn.thron.com/static/PVLYUJ_VARIANT_1076459_000__8008277764597_00-1920x1920_NSTV18_Z3FJ2N.png,,packshot variante,sicuro,"variante 1076459, EAN 8008277764597, pagina: Fantouch curl passion FANTOUCH"
FAN1096813,FAN1096813.webp,https://agf88holding-cdn.thron.com/static/RE5O7F_VARIANT_1096813_001__8032947868131_00-1920x1920_D14B14_1ZGE4O.png,https://agf88holding-cdn.thron.com/static/IU4SDJ_VARIANT_1096813_001__8032947868131_03-1920x1920_H6814Q_FAA8N4.jpeg,composita: astuccio + ciocca nuance ufficiale,sicuro,"variante 1096813, EAN 8032947868131, pagina: Color Keratin - Viola cenere COLOR KERATIN, nuance 10.21"
FAN83710,FAN83710.webp,https://agf88holding-cdn.thron.com/static/5NVOVY_VARIANT_1086710_002__8032947867103_00-1920x1920_4S6EFI_JKF61P.png,https://agf88holding-cdn.thron.com/static/0NF6IX_VARIANT_1086710_002__8032947867103_03-1920x1920_DXUX5X_O5BPEN.jpeg,composita: astuccio + ciocca nuance ufficiale,sicuro,"variante 1086710, EAN 8032947867103, pagina: Fanola Color - Naturali intensi FANOLA COLOR, nuance 9.00"
FAN86001,FAN86001.webp,https://agf88holding-cdn.thron.com/static/OHN6HU_MASTER_9500272__8032947860012_00-1920x1920_8IA3KW_3L8O2P.png,https://agf88holding-cdn.thron.com/static/CPLOQP_VARIANT_1086001_001__8032947860012_03-1920x1920_DXUB5S_LA2JJ3.jpeg,composita: astuccio + ciocca nuance ufficiale (astuccio di linea),sicuro,"variante 1086001, EAN 8032947860012, pagina: Fanola Color - Naturali FANOLA COLOR, nuance 1.0"
FAN86002,FAN86002.webp,https://agf88holding-cdn.thron.com/static/ARM4UZ_VARIANT_1086002_001__8032947860029_00-1920x1920_83216V_R5GEJ2.png,https://agf88holding-cdn.thron.com/static/HPQRAK_VARIANT_1086002_001__8032947860029_03-1920x1920_YB7WJX_069J33.jpeg,composita: astuccio + ciocca nuance ufficiale,sicuro,"variante 1086002, EAN 8032947860029, pagina: Fanola Color - Naturali FANOLA COLOR, nuance 3.0"
FAN86003,FAN86003.webp,https://agf88holding-cdn.thron.com/static/EW8ZRP_VARIANT_1086003_001__8032947860036_00-1920x1920_E243ZS_CRP61J.png,https://agf88holding-cdn.thron.com/static/BCER00_VARIANT_1086003_001__8032947860036_03-1920x1920_C0S5CA_I4AYTD.jpeg,composita: astuccio + ciocca nuance ufficiale,sicuro,"variante 1086003, EAN 8032947860036, pagina: Fanola Color - Naturali FANOLA COLOR, nuance 4.0"
FAN86004,FAN86004.webp,https://agf88holding-cdn.thron.com/static/CRBW5O_VARIANT_1086004_001__8032947860043_00-1920x1920_UY2IV4_CXCH05.png,https://agf88holding-cdn.thron.com/static/IRWAWI_VARIANT_1086004_001__8032947860043_03-1920x1920_BT80F5_00DWVK.jpeg,composita: astuccio + ciocca nuance ufficiale,sicuro,"variante 1086004, EAN 8032947860043, pagina: Fanola Color - Naturali FANOLA COLOR, nuance 5.0"
FAN86009,FAN86009.webp,https://agf88holding-cdn.thron.com/static/LCUT24_MASTER_9500274__8032947860098_00-1920x1920_T7IELL_YG2IPM.png,https://agf88holding-cdn.thron.com/static/SFQIMZ_VARIANT_1086009_001__8032947860098_03-1920x1920_3AH23N_H2A3DI.jpeg,composita: astuccio + ciocca nuance ufficiale (astuccio di linea),sicuro,"variante 1086009, EAN 8032947860098, pagina: Fanola Color - Naturali caldi FANOLA COLOR, nuance 4.03"
FAN86010,FAN86010.webp,https://agf88holding-cdn.thron.com/static/CWJNC7_VARIANT_1086010_001__8032947860104_00-1920x1920_7PNJ05_QDZ6O8.png,https://agf88holding-cdn.thron.com/static/HEULV5_VARIANT_1086010_001__8032947860104_03-1920x1920_6TZ569_7G8RTI.jpeg,composita: astuccio + ciocca nuance ufficiale,sicuro,"variante 1086010, EAN 8032947860104, pagina: Fanola Color - Naturali caldi FANOLA COLOR, nuance 5.03"
