SKU,TIPO,NUANCE,NOTA
FAN1096802,tubetto+ciocca,9.21,
FAN86008,tubetto+ciocca,9.0,
FAN86011,tubetto+ciocca,6.03,
FAN86012,tubetto+ciocca,7.03,nuance CORRETTA
FAN86016,solo-astuccio,,ciocca non disponibile su Fanola (nuance rame)
FAN86019,tubetto+ciocca,6.1,
FAN86021,tubetto+ciocca,8.1,
FAN86023,tubetto+ciocca,6.13,
FAN86024,tubetto+ciocca,7.13,
FAN86025,tubetto+ciocca,8.13,
FAN86026,tubetto+ciocca,9.13,
FAN86028,tubetto+ciocca,5.14,
FAN86029,tubetto+ciocca,6.14,
FAN86033,tubetto+ciocca,5.2,
FAN86035,tubetto+ciocca,6.3,
FAN86038,tubetto+ciocca,9.3,
FAN86039,tubetto+ciocca,6.34,
FAN86040,tubetto+ciocca,7.34,
FAN86041,tubetto+ciocca,8.34,
FAN86042,tubetto+ciocca,5.4,
FAN86043,solo-astuccio,6.4,ciocca non disponibile su Fanola (nuance rame)
FAN86044,tubetto+ciocca,7.4,
FAN86045,tubetto+ciocca,8.4,
FAN86047,solo-astuccio,6.43,ciocca non disponibile su Fanola (nuance rame)
FAN86049,tubetto+ciocca,8.43,
FAN86051,tubetto+ciocca,7.44,
FAN86053,tubetto+ciocca,5.46,
FAN86054,tubetto+ciocca,6.46,
FAN86056,tubetto+ciocca,5.5,
FAN86057,tubetto+ciocca,6.5,
FAN86059,tubetto+ciocca,5.6,
FAN86061,tubetto+ciocca,7.6,
FAN86071,tubetto+ciocca,10.0,
FAN86073,solo-astuccio,,ciocca non disponibile su Fanola (nuance rame)
FAN86077,tubetto+ciocca,9.14,
FAN86079,tubetto+ciocca,6.2,
FAN86081,solo-astuccio,11.2,ciocca non disponibile su Fanola (nuance rame)
FAN86082,tubetto+ciocca,11.7,
FAN86306,tubetto+ciocca,9.11,
FAN86307,tubetto+ciocca,10.11,nuance CORRETTA
FAN86311,tubetto+ciocca,5.29,
FAN86313,tubetto+ciocca,7.29,
FAN86315,tubetto+ciocca,5.66,
FAN86316,tubetto+ciocca,6.66,
FAN86317,tubetto+ciocca,7.66,
FAN86424,tubetto+ciocca,1.0,
FAN86427,tubetto+ciocca,5.0,
FAN86429,tubetto+ciocca,7.0,
FAN86437,tubetto+ciocca,6.1,
FAN86443,tubetto+ciocca,5.14,
FAN86445,tubetto+ciocca,5.3,
FAN86610,tubetto+ciocca,viola,
FAN86705,tubetto+ciocca,4.00,
FAN86708,tubetto+ciocca,7.00,
FAN86709,tubetto+ciocca,8.00,
FAN86804,tubetto+ciocca,6.00,
FAN86810,tubetto+ciocca,8.14,
