SKU,GRUPPO,TITOLO_VECCHIO,TITOLO_NUOVO,NOTA
FAN96358,TINT,Fanola Tinte 8.2F Rubio claro violeta fantasía 100 mL – Tinte crema colorante permanente para el cabello pelo – Color uniforme y brillante – PROFESIONAL,CREMA COLORE CAPELLI 100 ML 8.2F BIONDO CHIARO VIOLA FANTASIA,
FAN86463,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 11.7,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 11.7 SUPERSCHIARENTE MARRONE,
FAN86433,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 4.2,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 4.2 CASTANO VIOLA,
FAN86432,ORO,TINTA ORO COLOR KERATING 100ML 10,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 10.0 BIONDO PLATINO,
FAN86324,TINT,FANOLA TINTURA 12.2,CREMA COLORE CAPELLI 100 ML 12.2 SUPERSCHIARENTE PLATINO VIOLA,
FAN86304,TINT,Fanola Hair Color 100 ml variante di Fanola Hair Color 2 7.11 biondo medio intenso cenere,CREMA COLORE CAPELLI 100 ML 7.11 BIONDO CENERE INTENSO,
FAN86064,TINT,FANOLA – Crema tintura per capelli Fanola 100 ml 11.13 Super Blond Platino Beige,CREMA COLORE CAPELLI 100 ML 11.13 SUPERSCHIARENTE BEIGE,
FAN86063,TINT,FANOLA COLOR SUPERSCHIARENTI 11.1,CREMA COLORE CAPELLI 100 ML 11.1 SUPERSCHIARENTE CENERE,
FAN86060,TINT,"Fanola Crema colorante Colouring Cream 6.6 Biondo scuro Rosso, 100 ml",CREMA COLORE CAPELLI 100 ML 6.6 BIONDO SCURO ROSSO,
FAN86048,TINT,"FANOLA – Crema colorante per capelli, 100 ml, 7.43 biondo rame dorato",CREMA COLORE CAPELLI 100 ML 7.43 BIONDO RAME DORATO,
FAN86007,TINT,"FANOLA – Crema tintura per capelli, 100 ml, 8.0, biondo chiaro",CREMA COLORE CAPELLI 100 ML 8.0 BIONDO CHIARO,
FAN86005,TINT,Fanola Crema Colore per capelli 6/0 Fanola Crema Colore per capelli 6/0 – 100 ML,CREMA COLORE CAPELLI 100 ML 6.0 BIONDO SCURO,
MD06BE0181,TINT,"DERMACLYN – DERMODETERGENTE LIQUIDO PH 5,5 – FLACONE 1.000 ML",CREMA COLORE CAPELLI 100 ML 5.5 CASTANO CHIARO MOGANO,
FAN96362,TINT,FANOLA Hair Color 100 ML variazione di Fanola Hair Color 2 10.2 F Blonde Platinum Fantasy Violet,CREMA COLORE CAPELLI 100 ML 10.2F BIONDO PLATINO VIOLA FANTASIA,
FAN96361,TINT,Fanola Tinte 9.2F Rubio clarísimo violeta fantasía 100 mL – Tinte crema colorante permanente para el cabello pelo – Color uniforme y brillante – PROFESIONAL,CREMA COLORE CAPELLI 100 ML 9.2F BIONDO CHIARISSIMO VIOLA FANTASIA,
FAN86812,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 6.5,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 6.5 BIONDO SCURO MOGANO,
FAN86806,ORO,FANOLA COLOR COLOR KERATIN ORO PURO NATURALI INTENSI 8.00,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 8.00 BIONDO CHIARO NATURALE INTENSO,
FAN86805,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 7.00,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 7.00 BIONDO NATURALE INTENSO,
FAN86803,ORO,Fanola Oro Therapy Color cheratina 5.00 100 ml,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 5.00 CASTANO CHIARO NATURALE INTENSO,
FAN86706,TINT,FANOLA TINTURA 5.00,CREMA COLORE CAPELLI 100 ML 5.00 CASTANO CHIARO NATURALE INTENSO,
FAN86608,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA CORRETTORE ROSSO,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML CORRETTORE ROSSO,override utente
FAN86605,ORO,FANOLA COLOR COLOR KERATIN ORO PURO CIOCCOLATO 7.14,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 7.14 BIONDO CIOCCOLATO,
FAN86503,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 8.13,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 8.13 BIONDO CHIARO BEIGE,
FAN86502,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 7.13,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 7.13 BIONDO BEIGE,
FAN86501,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 6.13,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 6.13 BIONDO SCURO BEIGE,
FAN86467,OXY_ORO,"FANOLA, Oro Puro Therapy Gold Activator – Attivatore, 1l, 3%",OSSIGENO ORO THERAPY 10 VOL,
FAN86462,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 11.1,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 11.1 SUPERSCHIARENTE CENERE,
FAN86458,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 10.1,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 10.1 BIONDO PLATINO CENERE,
FAN86456,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 6.6,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 6.6 BIONDO SCURO ROSSO,
FAN86454,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 5.5,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 5.5 CASTANO CHIARO MOGANO,
FAN86453,ORO,FANOLA Tintura Oro Therapy Color Keratin Senza Ammoniaca 4.5,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 4.5 CASTANO MOGANO,
FAN86452,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 7.4,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 7.4 BIONDO RAME,
FAN86449,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 9.3,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 9.3 BIONDO CHIARISSIMO DORATO,
FAN86448,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 8.3,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 8.3 BIONDO CHIARO DORATO,
FAN86446,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 6.3,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 6.3 BIONDO SCURO DORATO,
