NUANCE,NOME_COLORE
1.0,NERO
3.0,CASTANO SCURO
4.0,CASTANO
4.2,CASTANO VIOLA
4.5,CASTANO MOGANO
4.6,CASTANO ROSSO
5.0,CASTANO CHIARO
5.1,CASTANO CHIARO CENERE
5.2,CASTANO CHIARO VIOLA
5.3,CASTANO CHIARO DORATO
5.4,CASTANO CHIARO RAME
5.5,CASTANO CHIARO MOGANO
5.6,CASTANO CHIARO ROSSO
5.7,CASTANO CHIARO MARRONE
6.0,BIONDO SCURO
6.1,BIONDO SCURO CENERE
6.2,BIONDO SCURO VIOLA
6.3,BIONDO SCURO DORATO
6.4,BIONDO SCURO RAME
6.5,BIONDO SCURO MOGANO
6.6,BIONDO SCURO ROSSO
7.0,BIONDO
7.1,BIONDO CENERE
7.4,BIONDO RAME
7.6,BIONDO ROSSO
7.7,BIONDO MARRONE
8.0,BIONDO CHIARO
8.1,BIONDO CHIARO CENERE
8.3,BIONDO CHIARO DORATO
8.4,BIONDO CHIARO RAME
9.0,BIONDO CHIARISSIMO
9.1,BIONDO CHIARISSIMO CENERE
9.3,BIONDO CHIARISSIMO DORATO
1.10,NERO BLU
10.0,BIONDO PLATINO
10.1,BIONDO PLATINO CENERE
10.3,BIONDO PLATINO DORATO
11.0,SUPERSCHIARENTE
11.1,SUPERSCHIARENTE CENERE
11.2,SUPER BIONDO PLATINO PERLA
11.7,SUPERSCHIARENTE MARRONE
12.2,SUPERSCHIARENTE PLATINO VIOLA
12.7,SUPERSCHIARENTE PLATINO MARRONE
4.00,CASTANO NATURALE INTENSO
4.03,CASTANO CALDO
4.14,CASTANO CIOCCOLATO
4.71,CASTANO MARRONE FREDDO
5.00,CASTANO CHIARO NATURALE INTENSO
5.03,CASTANO CHIARO CALDO
5.14,CASTANO CHIARO CIOCCOLATO
5.22,CASTANO CHIARO VIOLA INTENSO
5.29,CASTANO CHIARO CIOCCOLATO
5.46,CASTANO CHIARO RAME ROSSO
5.66,CASTANO CHIARO ROSSO INTENSO
6.01,BIONDO SCURO NATURALE CENERE
6.03,BIONDO SCURO CALDO
6.13,BIONDO SCURO BEIGE
6.14,BIONDO SCURO CIOCCOLATO
6.31,BIONDO SCURO
6.34,BIONDO SCURO DORATO RAME
6.43,BIONDO SCURO RAME DORATO
6.46,BIONDO SCURO RAME ROSSO
6.66,BIONDO SCURO ROSSO INTENSO
6.71,BIONDO SCURO MARRONE FREDDO
7.00,BIONDO NATURALE INTENSO
7.03,BIONDO CALDO
7.04,BIONDO NATURALE RAME
7.11,BIONDO CENERE INTENSO
7.13,BIONDO BEIGE
7.14,BIONDO CIOCCOLATO
7.29,BIONDO CIOCCOLATO
7.34,BIONDO DORATO RAME
7.43,BIONDO RAME DORATO
7.44,BIONDO RAME INTENSO
7.66,BIONDO ROSSO INTENSO
8.00,BIONDO CHIARO NATURALE INTENSO
8.01,BIONDO CHIARO NATURALE CENERE
8.11,BIONDO CHIARO CENERE INTENSO
8.13,BIONDO CHIARO BEIGE
8.14,BIONDO CHIARO CIOCCOLATO
8.2F,BIONDO CHIARO VIOLA FANTASIA
8.34,BIONDO CHIARO DORATO RAME
8.43,BIONDO CHIARO RAME DORATO
9.00,BIONDO CHIARISSIMO NATURALE INTENSO
9.03,BIONDO CHIARISSIMO CALDO
9.04,BIONDO CHIARISSIMO NATURALE RAME
9.11,BIONDO CHIARISSIMO CENERE INTENSO
9.13,BIONDO CHIARISSIMO BEIGE
9.14,BIONDO CHIARISSIMO CIOCCOLATO
9.21,BIONDO CHIARISSIMO VIOLA CENERE
9.2F,BIONDO CHIARISSIMO VIOLA FANTASIA
10.11,BIONDO PLATINO CENERE INTENSO
10.14,BIONDO PLATINO CIOCCOLATO
10.21,BIONDO PLATINO VIOLA CENERE
10.2F,BIONDO PLATINO VIOLA FANTASIA
11.13,SUPERSCHIARENTE BEIGE
